tick,time,barY,standRefY,heightDeficit,barVelY,barSpeed,barAngSpeed,lKnee,rKnee,maxKnee,lHip,rHip,maxHip,trunk,completionRegion,linStill,angStill,kneesQ,hipsQ,trunkQ,physicalLockout,state,sq,demand,drive01
768,7.680000,1.383125,1.403096,0.019971,0.111685,0.117953,0.347696,0.558821,0.581677,0.581677,-0.462944,-0.475295,0.475295,0.153202,1,0,0,0,0,1,0,ASCENT,0.150997,0.239876,0.000000
769,7.690000,1.384174,1.403096,0.018922,0.108464,0.114886,0.348858,0.550748,0.573551,0.573551,-0.455565,-0.467870,0.467870,0.149521,1,0,0,0,0,1,0,ASCENT,0.147997,0.240098,0.000000
770,7.700000,1.385195,1.403096,0.017901,0.106092,0.112646,0.346339,0.542722,0.565492,0.565492,-0.448313,-0.460603,0.460603,0.145870,1,0,0,0,0,1,0,ASCENT,0.144997,0.240030,0.000000
771,7.710000,1.386187,1.403096,0.016909,0.102902,0.109637,0.348218,0.534771,0.557479,0.557479,-0.441074,-0.453316,0.453316,0.142208,1,0,0,0,0,1,0,ASCENT,0.141997,0.240222,0.000000
772,7.720000,1.387153,1.403096,0.015943,0.100757,0.107628,0.345653,0.526828,0.549491,0.549491,-0.433907,-0.446128,0.446128,0.138579,1,0,0,0,0,1,0,ASCENT,0.138997,0.240180,0.000000
773,7.730000,1.388094,1.403096,0.015002,0.097805,0.104866,0.347887,0.518963,0.541554,0.541554,-0.426747,-0.438916,0.438916,0.134934,1,0,0,0,0,1,0,ASCENT,0.135997,0.240376,0.000000
774,7.740000,1.389009,1.403096,0.014087,0.095755,0.102964,0.346142,0.511127,0.533663,0.533663,-0.419707,-0.431850,0.431850,0.131313,1,0,0,0,0,1,0,ASCENT,0.132997,0.240320,0.000000
775,7.750000,1.389901,1.403096,0.013195,0.092985,0.100383,0.348094,0.503341,0.525792,0.525792,-0.412626,-0.424712,0.424712,0.127681,1,0,0,0,0,1,0,ASCENT,0.129997,0.240550,0.000000
776,7.760000,1.390770,1.403096,0.012326,0.091130,0.098640,0.346464,0.495578,0.517961,0.517961,-0.405658,-0.417710,0.417710,0.124068,1,0,0,0,0,1,0,ASCENT,0.126997,0.240523,0.000000
777,7.770000,1.391614,1.403096,0.011482,0.088363,0.096126,0.349479,0.487886,0.510172,0.510172,-0.398690,-0.410677,0.410677,0.120437,1,0,0,0,0,1,0,ASCENT,0.123997,0.240709,0.000000
778,7.780000,1.392436,1.403096,0.010661,0.086495,0.094413,0.348203,0.480205,0.502410,0.502410,-0.391825,-0.403773,0.403773,0.116827,1,0,0,0,0,1,0,ASCENT,0.120997,0.240660,0.000000
779,7.790000,1.393234,1.403096,0.009862,0.083844,0.091964,0.350227,0.472578,0.494672,0.494672,-0.384924,-0.396802,0.396802,0.113202,1,0,0,0,0,1,0,ASCENT,0.117997,0.240901,0.000000
780,7.800000,1.394011,1.403096,0.009085,0.082070,0.090343,0.349216,0.464957,0.486957,0.486957,-0.378121,-0.389955,0.389955,0.109595,1,0,0,0,0,1,0,ASCENT,0.114997,0.240863,0.000000
781,7.810000,1.394765,1.403096,0.008331,0.079449,0.087938,0.351607,0.457406,0.479282,0.479282,-0.371308,-0.383066,0.383066,0.105968,1,0,0,0,0,1,0,ASCENT,0.111997,0.241087,0.000000
782,7.820000,1.395498,1.403096,0.007598,0.077761,0.086403,0.350489,0.449842,0.471612,0.471612,-0.364571,-0.376276,0.376276,0.102362,1,0,0,0,0,1,0,ASCENT,0.108997,0.241074,0.000000
783,7.830000,1.396209,1.403096,0.006887,0.075221,0.084088,0.352873,0.442350,0.463983,0.463983,-0.357820,-0.369443,0.369443,0.098737,1,0,0,0,0,1,0,ASCENT,0.105997,0.241299,0.000000
784,7.840000,1.396899,1.403096,0.006197,0.073629,0.082678,0.353589,0.434847,0.456360,0.456360,-0.351156,-0.362721,0.362721,0.095127,1,0,0,0,0,1,0,ASCENT,0.102997,0.241270,0.000000
785,7.850000,1.397568,1.403096,0.005528,0.071267,0.080548,0.357140,0.427413,0.448777,0.448777,-0.344470,-0.355945,0.355945,0.091502,1,0,0,0,0,1,0,ASCENT,0.099997,0.241501,0.000000
786,7.860000,1.398217,1.403096,0.004879,0.069717,0.079139,0.355877,0.419962,0.441192,0.441192,-0.337864,-0.349275,0.349275,0.087893,1,0,0,0,0,1,0,ASCENT,0.096997,0.241462,0.000000
787,7.870000,1.398844,1.403096,0.004252,0.067312,0.076963,0.357435,0.412579,0.433646,0.433646,-0.331235,-0.342550,0.342550,0.084277,1,0,0,0,0,1,0,ASCENT,0.093997,0.241683,0.000000
788,7.880000,1.399453,1.403096,0.003643,0.065777,0.075602,0.357033,0.405169,0.426089,0.426089,-0.324683,-0.335927,0.335927,0.083037,1,0,0,0,0,1,0,ASCENT,0.090997,0.241653,0.000000
789,7.890000,1.400046,1.403096,0.003050,0.064070,0.074108,0.357803,0.397811,0.418560,0.418560,-0.318146,-0.329293,0.329293,0.081795,1,0,0,0,0,1,0,ASCENT,0.087997,0.241812,0.000000
790,7.900000,1.400631,1.403096,0.002465,0.063461,0.073594,0.356317,0.390409,0.410994,0.410994,-0.311685,-0.322746,0.322746,0.080538,1,0,0,0,0,1,0,ASCENT,0.084997,0.241791,0.000000
791,7.910000,1.401201,1.403096,0.001895,0.061684,0.072137,0.357934,0.383064,0.403450,0.403450,-0.305181,-0.316124,0.316124,0.079296,1,0,0,0,0,1,0,ASCENT,0.081997,0.242022,0.000000
792,7.920000,1.401755,1.403096,0.001341,0.060493,0.071160,0.356337,0.375676,0.395881,0.395881,-0.298750,-0.309602,0.309602,0.078035,1,0,0,0,0,1,0,ASCENT,0.078997,0.242030,0.000000
793,7.930000,1.402290,1.403096,0.000806,0.058192,0.069203,0.357028,0.368344,0.388338,0.388338,-0.292280,-0.303011,0.303011,0.076794,1,0,0,0,0,1,0,ASCENT,0.075997,0.242297,0.000000
794,7.940000,1.402806,1.403096,0.000290,0.056624,0.067920,0.355858,0.360958,0.380757,0.380757,-0.285869,-0.296504,0.296504,0.075532,1,0,0,0,0,1,0,ASCENT,0.072997,0.242296,0.000000
795,7.950000,1.403298,1.403096,-0.000202,0.053941,0.065679,0.356811,0.353676,0.373253,0.373253,-0.279443,-0.289956,0.289956,0.074281,1,0,0,0,0,1,0,ASCENT,0.069997,0.242563,0.000000
796,7.960000,1.403768,1.403096,-0.000672,0.052154,0.064211,0.356038,0.346340,0.365716,0.365716,-0.273073,-0.283489,0.283489,0.073011,1,0,0,0,0,1,0,ASCENT,0.066997,0.242557,0.000000
797,7.970000,1.404216,1.403096,-0.001120,0.049599,0.062209,0.357823,0.339085,0.358231,0.358231,-0.266667,-0.276958,0.276958,0.071756,1,0,0,0,0,1,0,ASCENT,0.063997,0.242758,0.000000
798,7.980000,1.404645,1.403096,-0.001549,0.048126,0.061100,0.357931,0.331774,0.350711,0.350711,-0.260313,-0.270506,0.270506,0.070479,1,0,0,0,0,1,0,ASCENT,0.060997,0.242721,0.000000
799,7.990000,1.405055,1.403096,-0.001959,0.045910,0.059363,0.359588,0.324576,0.343276,0.343276,-0.253960,-0.264026,0.264026,0.069212,1,0,0,0,0,1,0,ASCENT,0.057997,0.242950,0.000000
800,8.000000,1.405450,1.403096,-0.002354,0.044695,0.058473,0.359934,0.317309,0.335788,0.335788,-0.247651,-0.257612,0.257612,0.067925,1,0,0,0,0,1,0,ASCENT,0.054997,0.242936,0.000000
801,8.010000,1.405828,1.403096,-0.002732,0.042729,0.056941,0.361808,0.310112,0.328342,0.328342,-0.241292,-0.251119,0.251119,0.066649,1,0,0,0,0,1,0,ASCENT,0.051997,0.243193,0.000000
802,8.020000,1.406190,1.403096,-0.003094,0.041536,0.056123,0.362560,0.302881,0.320879,0.320879,-0.235022,-0.244738,0.244738,0.065352,1,0,0,0,0,1,0,ASCENT,0.048997,0.243168,0.000000
803,8.030000,1.406535,1.403096,-0.003439,0.039506,0.054603,0.364176,0.295715,0.313452,0.313452,-0.228697,-0.238270,0.238270,0.064063,1,0,0,0,0,1,0,ASCENT,0.045997,0.243416,0.000000
804,8.040000,1.406865,1.403096,-0.003769,0.038355,0.053790,0.365015,0.288458,0.305950,0.305950,-0.222398,-0.231854,0.231854,0.062761,1,0,0,0,0,1,0,ASCENT,0.042997,0.243422,0.000000
805,8.050000,1.407177,1.403096,-0.004081,0.036241,0.052225,0.366593,0.281324,0.298544,0.298544,-0.216108,-0.225417,0.225417,0.061464,1,0,0,0,0,1,0,ASCENT,0.039997,0.243666,0.000000
806,8.060000,1.407474,1.403096,-0.004377,0.035023,0.051338,0.367137,0.274088,0.291050,0.291050,-0.209839,-0.219023,0.219023,0.060150,1,0,0,0,0,1,0,ASCENT,0.036997,0.243681,0.000000
807,8.070000,1.407752,1.403096,-0.004656,0.032919,0.049889,0.369098,0.266917,0.283596,0.283596,-0.203502,-0.212535,0.212535,0.058860,1,0,0,0,0,1,0,ASCENT,0.033997,0.243918,0.000000
808,8.080000,1.408014,1.403096,-0.004918,0.031727,0.049104,0.370305,0.259643,0.276056,0.276056,-0.197182,-0.206087,0.206087,0.057549,1,0,0,0,0,1,0,ASCENT,0.030997,0.243918,0.000000
